infopagesfile version 1
14
ip_dplmc_info Diplomacy_Mod The_Diplomacy_mod_adds_some_features_to_the_game._Most_of_them_are_accessed_via_your_minister_and_several_new_potential_employees:_a_chamberlain,_a_constable,_and_a_chancellor._You_gain_the_opportunity_to_hire_a_chamberlain_when_you_get_your_first_village,_a_constable_when_you_gain_your_first_castle,_and_a_chancellor_when_you_gain_your_first_town._If_you_dismiss_one_of_your_employees,_you_may_be_able_to_rehire_them_through_a_well-connected_spouse_or_one_of_the_travellers_who_frequent_the_taverns_of_Calradia.^^Aside_from_these_the_mod_has_other_features_as_well,_which_can_be_accessed_from_the_Camp_menu.^^This_mod_uses_Diplomacy_Version_4.3+_for_Steam.
ip_dplmc_autoloot Feature:_Autoloot Autoloot_settings_are_managed_through_the_camp_menu._It_allows_you_to_have_your_companions_(named_heroes,_not_ordinary_soldiers)_automatically_select_equipment_from_the_loot_after_a_battle.^^_In_order_for_this_feature_to_be_enabled,_one_of_the_following_must_be_true:_someone_in_your_party_must_have_a_Looting_score_of_2_or_better,_someone_in_your_party_must_have_an_Inventory_Management_score_of_3_or_better,_or_the_player_{him/her}self_must_have_an_Inventory_Management_score_of_2_or_better.^^_The_desired_primary_damage_types_(the_higher_of_any_swing/thrust_damage)_for_melee_and_throwing_weapons_can_be_set_up_here._In_addition,_players_can_fine-tune_weapon_selection_for_two-handed/one-handed_weapons,_pikes,_lances,_and_bladed_polearms.
ip_dplmc_autosell Feature:_Autosell The_Autosell_feature_allows_you__to_sell_many_items_to_a_merchant_all_at_once,_instead_of_selling_them_one_at_a_time._Autosell_settings_are_managed_through_the_Town_menu,_where_you_can_specify_which_types_of_items_you_want_to_be_able_to_sell_(e.g._you_might_not_want_to_automatically_sell_horses)_and_a_price_limit_(for_example,_you_might_not_want_to_automatically_sell_any_items_that_cost_more_than_200_denars).^^_There_are_two_primary_ways_to_use_autosell._If_you_speak_to_a_Horse_Merchant,_Armorer,_or_Weapon_Merchant_in_a_town,_there_is_a_conversation_option_to_sell_items_of_a_particular_type.__Also,_when_visiting_a_town_there_will_be_an_option_in_the_Marketplace_section_of_the_menu_to_automatically_sell_your_items_throughout_the_town.^^_For_people_who_used_Autosell_in_other_mods,_note_that_this_sells_from_your_own_inventory,_according_to_certain_rules.__Items_you_have_equipped_will_never_be_sold,_and_neither_will_the_first_three_items_in_your_inventory.__After_that,_autosell_also_skips_anything_that_it_thinks_might_be_your_personal_equipment_(since_people_often_have_more_than_one_set).__Regardless_of_whether_you_have_them_equipped,_it_won't_sell_your_best_bow,_crossbow,_armor,_helmet,_boots,_or_gloves._If_you_have_a_bow_you_can_use,_it_won't_sell_your_best_three_packs_of_arrows,_and_if_you_have_a_crossbow_it_won't_sell_your_best_three_packs_of_bolts._For_shields,_one-handed_weapons,_two-handed_weapons,_polearms,_and_horses,_it_won't_sell_your_best_or_second-best_item._Your_best_three_throwing_weapons_also_will_not_be_sold._However,_items_that_your_character_is_unable_to_use_are_considered_fair_game.
ip_dplmc_policy Feature:_Policy Centralization/Decentralization:^+3_-_very_centralized._Tax_inefficiency_for_the_ruler_is_reduced_by_15%,_and_increased_by_15%_to_his_vassals._Ruler's_relations_with_his_vassals_should_suffer_a_-3_hit_every_month._King's_army_get_30%_percent_increase,_lords'_armies_get_9%_decrease.^+2_-_quite_centralized._Tax_inefficiency_for_the_ruler_is_reduced_by_10%,and_increased_by_10%_to_his_vassals._Ruler's_relations_with_his_vassals_fiefs_should_suffer_a_-2_hit_every_month._King's_army_get_20%_percent_increase,_lords'_armies_get_6%_decrease.^+1_-_slightly_centralized._Tax_inefficiency_for_the_ruler_is_reduced_by_5%,_and_increased_by_5%_to_his_vassals._Ruler's_relations_with_his_vassals_fiefs_should_suffer_a_-1_hit_every_month._King's_army_get_10%_percent_increase,_lords'_armies_get_3%_decrease.^-1_-_slightly_decentralized._Tax_inefficiency_for_the_ruler_is_increased_by_5%._Ruler's_relations_with_his_vassals_increase_by_+1_every_month._King's_army_get_10%_percent_decrease,_lords'_armies_get_3%_increase.^-2_-_quite_decentralized._Tax_inefficiency_for_the_ruler_is_increased_by_10%._Ruler's_relations_with_his_vassals_increase_by_+2_every_month._King's_army_get_20%_percent_decrease,_lords'_armies_get_6%_increase.^-3_-_very_decentralized._Tax_inefficiency_for_the_ruler_is_increased_by_15%._Ruler's_relations_with_his_vassals_increase_by_+3_every_month._King's_army_get_30%_percent_decrease,_lords'_armies_get_9%_increase.^^Aristocracy/Plutocracy:^+3_-_very_aristocratic.__Trade_decreased_by_15%._Kings_relations_with_their_lords_increased_by_3_every_month._Vassals_armies_increased_by_9%.^+2_-_quite_aristocratic._Trade_decreased_by_10%._Kings_relations_with_their_lords_increased_by_2_every_month._Vassals_armies_increased_by_6%.^+1_-_somewhat_aristocratic._Trade_decreased_by_5%._Kings_relations_with_their_lords_increased_by_1_every_month._Vassals_armies_increased_by_3%.^-1_-_somewhat_plutocratic._Trade_increased_by_10%._Kings_relations_with_their_lords_decreased_by_1_every_month._Vassals_armies_decreased_by_3%.^-2_-_quite_plutocratic._Trade_increased_by_15%._Kings_relations_with_their_lords_decreased_by_2_every_month._Vassals_armies_decreased_by_6%.^-3_-_very_plutocratic._Trade_increased_by_20%._Kings_relations_with_their_lords_decreased_by_3_every_month._Vassals_armies_decreased_by_9%.^^Serfdom/Free_subjects:^+3_-_almost_all_serfs.__Tax_inefficiency_decreased_by_9%_for_both_king_and_his_vassals._Troops_of_the_faction_suffer_a_6%_strength_malus_in_AI_fights,_kingdom_army_size_increased_by_6%.^+2_-_mostly_serfs.__Tax_inefficiency_decreased_by_6%_for_both_king_and_his_vassals._Troops_of_the_faction_suffer_a_4%_strength_malus_in_AI_fights,_kingdom_army_size_increased_by_4%.^+1_-_usually_serfs.__Tax_ineffiency_decreased_by_3%_for_both_king_and_his_vassals._Troops_of_the_faction_suffer_a_2%_strength_malus_in_AI_fights,_kingdom_army_size_increased_by_2%.^-1_-_usually_free_subjects.__Tax_inefficiency_increased_by_3%_for_both_king_and_his_vassals._Troops_of_the_faction_get_a_2%_strength_bonus_in_AI_fights,_kingdom_army_size_decreased_by_2%.^-2_-_mostly_free_subjects.__Tax_inefficiency_increased_by_6%_for_both_king_and_his_vassals._Troops_of_the_faction_get_a_4%_strength_bonus_in_AI_fights,_kingdom_army_size_decreased_by_4%.^-3_-_all_free_subjects.__Tax_inefficiency_increased_by_9%_for_both_king_and_his_vassals._Troops_of_the_faction_get_a_6%_strength_bonus_in_AI_fights,_kingdom_army_size_decreased_by_6%.^^Quality/Quantity:^+3_-_of_legendary_quality._AI_strength_of_troops_increased_by_12%,_lords'_armies_decreased_by_12%.^+2_-_of_great_quality._AI_strength_of_troops_increased_by_8%,_lords'_armies_decreased_by_8%.^+1_-_of_good_quality._AI_strength_of_troops_increased_by_4%,_lords'_armies_decreased_by_4%.^-1_-_of_good_quanity._AI_strength_of_troops_decreased_by_4%,_lords'_armies_increased_by_4%.^-2_-_of_great_quantity._AI_strength_of_troops_decreased_by_8%,_lords'_armies_increased_by_8%.^-3_-_of_legendary_quantity._AI_strength_of_troops_decreased_by_12%,_lords'_armies_increased_by_12%.
ip_dplmc_deathcamera Feature:_Battle_Continuation Post-battle_continuation_allow_you_to_watch_the_battle_unfold_after_being_knocked_unconscious._Camera_key_bindings_are_available_from_the_Diplomacy_preference_menus._In_general_numpad_keys_are_used_to_rotate_while_movement_keys_are_used_to_pan_the_camera._There_are_three_camera_modes_available.
ip_dplmc_disguise Feature:_Player_Disguise The_player_disguise_system_allows_the_player_to_take_on_the_role_of_various_commoners_while_attempting_to_sneak_into_a_town._In_addition_to_the_original_pilgrim_robes,_players_are_able_to_acquire_new_sets_of_equipment_from_merchants_and_their_chamberlains.^_In_Native,_the_chance_to_be_caught_depends_on_the_number_of_men_in_the_party._The_new_system_calculates_the_chance_to_be_caught_based_on_the_player's_chosen_role_instead,_but_limits_what_the_player_can_bring_in_and_out_of_towns_in_terms_of_gold_and_items._The_player's_inventory_will_be_merged_after_leaving_the_town.
ip_dplmc_ai_changes Option:_Campaign_AI Low:^^-_Center_points_for_fief_allocation_are_calculated_(villages_1_/_castles_2_/_towns_3)_instead_of_(villages_1_/_castles_1_/_towns_2).^-_For_the_rescue_prisoner_and_offer_gift_quests,_the_relatives_that_can_be_a_target_of_the_quest_have_been_extended_to_include_uncles_and_aunts_and_in-laws.^-_Alterations_to_claimant_quest_calculation_for_center_scores.^-_When_picking_a_new_faction,_lords_are_more_likely_to_return_to_their_original_faction_(except_when_that's_the_faction_they're_being_exiled_from),_if_the_ordinary_conditionsfor_rejoining_are_met._A_lord's_decision_may_also_be_influenced_by_his_relations_with__other_lords_in_the_various_factions,_instead_of_just_his_relations_with_the_faction_leaders.^^Medium:^^-_Some_changes_for_lord_relation_gains/losses_when_fiefs_are_allocated.^-_Kings_overrule_lords_slightly_less_frequently_on_faction_issues.^-_In_deciding_who_to_support_for_a_fief,_minor_parameter_changes_for_certain_personalities._Some_lords_will_still_give_priority_to_fiefless_lords_or_to_the_lord_who_conquered_the_center_if_they_have_a_slightly_negative_relation_(normally_the_cutoff_is_0_for_all_personalities).^-_When_a_lord_can't_find_any_good_candidates_for_a_fief_under_the_normal_rules,_instead_of_automatically_supporting_himself_he_uses_a_weighted_scoring_scheme.^-_In_various_places_where_average_renown_*_3/2_appears,_an_alternate_calculation_is_sometimes_used.^-_Lords_wil_perform_additional_upgrades_and_hiring_of_mercenaries_in_towns_depending_on_personality.^^High:^^-_The_renown_factor_when_an_NPC_lord_or_the_player_courts_and_NPC_lady_is_adjusted_by_the_prestige_of_the_lady's_guardian.^-_When_a_faction_has_fiefless_lords_and_no_free_fiefs_left,_under_some_circumstances_the_king_will_redistribute_a_village_he_owns.^-_When_villages_are_looted_any_volunteers_that_were_in_the_village_will_be_killed_for_both_player_and_NPC.
ip_dplmc_gold_changes Option:_Economic_AI Low:^^-_Faction_policy_sliders_affect_tax_inefficiency_as_either_liege_or_vassal_(centralization).^-_Caravan_trade_benefits_both_the_source_and_the_destination.^-_When_the_player_surrenders,_there_is_a_chance_his_personal_equipment_will_not_be_looted,_based_on_who_accepted_the_surrender_and_the_difficulty_setting.__(This_is_meant_to_address_a_gameplay_issue._In_the_first_700_days_or_so,_there_is_no_possible_benefit_to_surrendering_rather_than_fighting_to_the_last_man.)__Also,_a_bug_that_made_it_possible_for_books_etc._to_be_looted_was_corrected.^-_AI_caravans_take_into_consideration_distance_when_choosing_their_next_destination_and_will_be_slightly_more_like_to_visit_their_own_faction._This_strategy_is_mixed_with_the_Native_one,_so_the_trade_pattern_will_differ_but_not_wildly.^-_Scale_town_merchant_gold_by_prosperity_(up_to_a_maximum_40%_change).^-_Food_prices_increase_in_towns_that_have_been_under_siege_for_at_least_48_hours.^-_In_towns_the_trade_penalty_script_has_been_tweaked_to_make_it_more_efficient_to_sell_goods_to_merchants_specializing_in_them.^-_Food_has_a_chance_of_not_spoiling_depending_on_inventory_management.^-_Villages_being_raided_now_delays_construction_projects.^-_Trading_parties_will_drop_off_prisoners_at_walled_centers.^^Medium:^^-_Your_spouse_and_having_a_capital_effectively_lets_you_hold_an_extra_center_by_offsetting_the_tax_inefficiency_limit_by_one.^-_Food_consumption_increases_in_towns_as_prosperity_increases._Consumption_also_increases_with_garrison_sizes.^-_Looting_villages_no_longer_yields_exactly_30_items.^-_Lords'_looting_skill_affects_how_much_gold_they_take_from_the_player_when_they_defeat_him.^-_Lords'_leadership_skill_modifies_their_troop_wage_costs_the_same_way_it_does_for_the_player.^-_The_player_can_lose_gold_when_his_fiefs_are_looted,_like_lords.^-_The_same_way_that_lord_party_sizes_increase_as_the_player_progresses,_mercenary_party_sizes_also_increase_to_maintain_their_relevance._(The_rate_is_the_same_as_for_lords:_a_1.25%_increase_per_level.)^-_If_the_player_has_a_kingdom_of_his_own,_his_spouse_will_receive_part_of_the_bonus_that_ordinarily_would_be_due_a_liege._The_extent_of_this_bonus_depends_on_the_number_of_fiefs_the_players_holds._This_bonus_is_non-cumulative_with_the_marshall_bonus.^-_Attrition_is_inflicted_on_NPC-owned_centers_if_they_can't_pay_wages,_but_only_above_a_certain_threshold.^-_Strangers_cannot_acquire_enterprises_(enforced_at_1_instead_of_at_0,_so_you_have_to_do_something).^-_Village_prosperity_has_an_impact_on_bandit_infestation_(chance_of_death_spiral).^-_Village_elder_now_receives_the_gold_when_you_buy_cattle.^-_Village_farmer_parties_carry_off_extraneous_items_in_the_town_elder's_inventory_to_sell_at_market_towns.^^High:^^-_The_total_amount_of_weekly_bonus_gold_awarded_to_kings_in_Calradia_remains_constant:_as_kings_go_into_exile,_their_bonuses_are_divided_among_the_remaining_kings.^-_If_any_lords_run_a_personal_gold_surplus_after_party_wages,_the_extra_is_divided_among_the_lord_and_his_garrisons_budgets_(each_castle_and_town_has_its_own_pool_of_funds_to_pay_for_soldiers)_on_the_basis_of_whether_the_lord_is_low_on_gold_or_any_of_his_fortresses_are._(If_none_are_low_on_gold,_the_lord_takes_everything,_like_before).^-_The_honor_loss_from_an_offense_depends_in_part_on_the_player's_honor_at_the_time._The_purer_the_reputation,_the_greater_the_effect_of_a_single_disagrace.^-_Raiding_change:_village_gold_lost_is_removed_from_uncollected_taxes_before_the_balance_(if_any)_is_removed_from_the_lord.^-_Prisoners_pruned_off_from_centers_weekly_are_actually_ransomed_off_at_a_1:10_ratio_to_increase_local_wealth.^-_Allows_cancelling_improvements_(cash_goes_back_to_local_economy,_but_relations_suffer).
ip_morale Morale Morale_represents_the_ability_and_willingness_of_the_troops_in_a_party_to_summon_up_the_endurance,_quality,_and_discipline_they_need_to_face_the_stresses_of_battle_and_the_march._It_is_not_the_same_thing_as_the_troops'_happiness._Elite_troops_may_grumble_and_whine_about_the_hardships_of_campaigning_--_but_then_stand_together_as_one_when_the_arrows_start_to_fly._On_the_other_hand,_a_commander_who_gives_his_men_everything_they_want_may_find_that_they_grow_soft,_and_waiver_before_the_enemy's_charge.^^_Morale's_greatest_impact_is_on_a_party's_behavior_in_battle,_determining_how_aggressively_troops_engage_the_enemy,_and_how_likely_they_are_to_break_and_run_if_they_perceive_the_tide_of_battle_turning_against_them._Morale_also_affects_a_party's_march_speed,_as_a_less_motivated_party_will_move_more_slowly,_as_the_men_are_not_pushing_themselves_to_their_physical_limit,_and_pause_more_frequently,_as_it_waits_for_stragglers_to_catch_up._Finally,_a_party_with_very_low_morale_will_start_to_suffer_desertions.^^_Some_factors_that_affect_morale_are_intuitive._For_example,_a_charismatic_commander_with_a_reputation_for_winning_battles_can_infuse_his_or_her_men_with_a_sense_of_confidence._Leaders_who_give_their_men_well_ample_and_varied_supplies_of_food,_and_pay_them_on_time,_demonstrate_that_they_care_about_their_troops'_welfare,_and_are_less_likely_to_lead_them_into_disaster.^^_Other_factors_are_less_intuitive_--_particularly_those_related_to_a_party's_sense_of_group_cohesion._In_a_small_tight-knit_party,_for_example,_men_will_often_fight_hard_against_daunting_odds_to_avoid_showing_cowardice_before_their_comrades-in-arms._A_large_party_on_the_other_hand_may_see_its_cohesion_strained,_as_the_commander_has_less_time_to_supervise_the_men,_listen_to_their_grievances,_and_resolve_their_disputes._Frequent_battles_will_strengthen_the_bonds_between_men,_while_long_periods_without_combat_will_see_the_troops_become_bored_and_quarrelsome.^^_The_morale_report,_accessibly_by_hitting_the_'reports'_button_will_give_the_player_a_sense_of_the_factors_affecting_his_or_her_men's_morale.
